MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs 
59465.533401 -20.617  0.589   -21   12 orange  0   2.29  45.14846  11.84153  8689.29  1898.12 1.74 1.68 -15.0 -0.431 19.73 20.60 01a59465o0676o
59465.535705  22.899  5.278     2   13 orange  0   1.12  45.14846  11.84153  8669.34  1858.51 1.80 1.71 -27.5 -0.431 19.74 20.61 01a59465o0681o
59465.541327  21.036  1.645    14   23 orange  0   1.58  45.14846  11.84153  8728.85  1937.77 1.90 1.65 -20.2 -0.449 18.94 19.95 01a59465o0693o
59465.561069 -24.360 17.625    -1   12 orange  0   2.54  45.14846  11.84153  8747.73  1819.20 1.95 1.89 -25.5 -0.420 19.70 20.71 01a59465o0732o
59467.514579 -20.390  0.433   -25   11 cyan  0   1.08  45.14846  11.84153  3026.56  6720.44 2.47 2.32  35.6 -0.394 19.64 21.40 02a59467o0623c
59467.518271  24.397 15.000     1   10 cyan  0   1.86  45.14846  11.84153  3046.25  6759.57 2.41 2.31  35.2 -0.393 19.63 21.40 02a59467o0631c
59467.529408 -21.164  0.753   -12    9 cyan  0   1.89  45.14846  11.84153  2989.98  6681.39 2.50 2.32  29.8 -0.396 19.67 21.46 02a59467o0652c
59467.547627 -21.287  0.843   -11    9 cyan  0   2.44  45.14846  11.84153  2973.82  6797.98 2.47 2.21  31.9 -0.393 19.69 21.44 02a59467o0691c
59469.523073 -21.586  1.849    -8   16 orange  0   2.15  45.14846  11.84153  8585.06  1834.20 2.61 2.41 -50.4 -0.532 19.31 20.65 01a59469o0553o
59469.524949 -20.983  1.877   -15   28 orange  0   1.58  45.14846  11.84153  8563.19  1793.73 2.41 2.21   6.6 -0.548 18.79 20.22 01a59469o0557o
59469.529200  23.195 19.250     2   37 orange  0   1.41  45.14846  11.84153  8621.01  1870.20 2.39 2.28 -15.5 -0.542 18.33 19.64 01a59469o0565o
59469.534271 -20.181  1.163   -31   36 orange  0   1.50  45.14846  11.84153  8639.47  1752.88 2.41 2.30 -20.1 -0.533 18.37 19.65 01a59469o0576o
59474.453437  18.020  0.086   225   19 orange  0   1.09  45.14846  11.84153  3306.61   407.02 2.05 1.77 -53.8 -0.466 18.85 19.28 02a59474o0298o
59474.457562  17.891  0.088   253   22 orange  0   0.87  45.14846  11.84153  3333.98   445.23 2.08 1.80 -52.5 -0.463 18.90 19.39 02a59474o0307o
59474.464561  18.119  0.112   205   23 orange  0   0.77  45.14846  11.84153  3277.16   365.93 2.06 1.80 -55.0 -0.456 19.05 19.52 02a59474o0322o
59474.478821  18.082  0.071   212   15 orange  0   2.43  45.14846  11.84153  3260.40   482.71 2.06 1.84 -58.2 -0.452 18.95 19.48 02a59474o0353o
59475.522399  17.702  0.147   302   44 orange  0   1.09  45.14846  11.84153  3326.95   406.72 2.16 2.01 -62.3 -0.442 17.95 18.15 02a59475o0665o
59475.556582  17.359  0.174   413   72 orange  0   1.38  45.14846  11.84153  7250.89 10116.29 2.27 2.17  73.9 -0.426 17.44 17.54 02a59475o0728o
59475.565856  17.750  0.220   288   63 orange  0   0.86  45.14846  11.84153  3296.93   364.56 2.03 1.84 -65.8 -0.464 17.84 18.05 02a59475o0746o
59475.569055  17.841  0.273   265   72 orange  0   0.94  45.14846  11.84153  3277.73   485.73 2.05 1.89 -63.1 -0.468 17.55 17.79 02a59475o0753o
59478.437665  17.463  0.076   376   28 orange  0   1.04  45.14846  11.84153  3308.04   405.33 1.96 1.80 -54.7 -0.468 18.44 18.50 02a59478o0483o
59478.439503  17.419  0.097   391   38 orange  0   0.54  45.14846  11.84153  3328.15   445.76 2.00 1.83 -56.2 -0.455 18.44 18.54 02a59478o0487o
59478.442728  17.558  0.097   344   34 orange  0   0.94  45.14846  11.84153  3268.30   365.53 1.91 1.82 -87.0 -0.453 18.40 18.52 02a59478o0494o
59478.453918  17.540  0.083   350   29 orange  0   1.50  45.14846  11.84153  3248.54   483.70 1.99 1.82 -58.0 -0.460 18.46 18.56 02a59478o0517o
59485.425793  18.090  0.082   211   17 orange  0   1.43  45.14846  11.84153  2731.80  2217.41 2.94 2.72  41.3 -0.446 19.09 20.42 01a59485o0484o
59485.429023  18.007  0.078   228   18 orange  0   2.51  45.14846  11.84153  2704.68  2174.09 2.76 2.64 -48.8 -0.511 19.20 20.42 01a59485o0491o
59485.464195  18.140  0.080   201   16 orange  0   1.52  45.14846  11.84153  2764.15  2248.43 2.89 2.76 -13.6 -0.482 19.17 20.51 01a59485o0563o
59485.470133  18.018  0.074   225   17 orange  0   1.75  45.14846  11.84153  2781.37  2135.57 2.93 2.78 -49.4 -0.485 19.16 20.54 01a59485o0575o
59485.642100  18.178  0.419   194   81 orange  0   1.23  45.14846  11.84153  7732.53  8333.64 3.11 2.95  56.2 -0.445 18.12 18.51 01a59485o0927o
59486.481123  18.004  0.065   228   15 orange  0   1.31  45.14846  11.84153  2906.19  2841.30 2.36 1.92  30.7 -0.426 19.42 20.49 02a59486o0614o
59486.484346  17.950  0.053   240   13 orange  0   1.94  45.14846  11.84153  2928.25  2880.14 2.25 1.88  35.8 -0.437 19.46 20.50 02a59486o0621o
