time[d]                  flux[mJy]                flux_err[mJy]
5.947379872671324119e+04 -2.971736724434431709e-01 2.213357878759768943e-02
5.947404872671324119e+04 -2.686385398908636701e-01 2.143083792381216685e-02
5.947429872671324119e+04 -1.910372048798772426e-01 2.170538048280572924e-02
5.947454872671324119e+04 -5.729570452429967597e-02 2.137767289506397467e-02
5.947479872671324119e+04 -4.409127140862956207e-02 2.079780594779832154e-02
5.947504872671324119e+04 4.087948688717286255e-02 2.111648379161383537e-02
5.947529872671324119e+04 3.284363820826567693e-02 2.037997031533183429e-02
5.947554872671324119e+04 6.192453099806620453e-02 2.001509149106272395e-02
5.947579872671324119e+04 6.962223906872541668e-02 2.053481115400642570e-02
5.947604872671324119e+04 1.090653234241669156e-01 2.020637385281670584e-02
5.947629872671324119e+04 1.216454006307969293e-01 2.093978302766771188e-02
5.947654872671324119e+04 1.293639552857154262e-01 2.129309710700931155e-02
5.947679872671324119e+04 7.552889672845489177e-02 2.087961911367921045e-02
5.947704872671324119e+04 8.271028271690765432e-02 2.075258061471391829e-02
5.947729872671324119e+04 9.394991914325469262e-02 2.063225640184543005e-02
5.947754872671324119e+04 1.356067184322231889e-01 2.126064718777224624e-02
5.947779872671324119e+04 9.608230725302691067e-02 2.077261199813550813e-02
5.947804872671324119e+04 7.025883321408524229e-02 2.070429746037491525e-02
5.947829872671324119e+04 1.158947664081055318e-01 2.005730818791123110e-02
5.947854872671324119e+04 8.072534533754943675e-02 2.048404536289746142e-02
5.947879872671324119e+04 8.880195851342045921e-02 2.018263083954924611e-02
5.947904872671324119e+04 1.014451106275934544e-01 2.012731570773821158e-02
5.947929872671324119e+04 7.167111238137052753e-02 2.138909367896285954e-02
5.947954872671324119e+04 8.529131486309957100e-02 2.001603994301500919e-02
5.947979872671324119e+04 4.012313023925893202e-02 2.014753546204819251e-02
5.948004872671324119e+04 2.860713962034323876e-02 2.127018842444262925e-02
5.948029872671324119e+04 1.543650207008177497e-02 2.021683426027225117e-02
5.948054872671324119e+04 8.080788077509625661e-03 2.094995559766543031e-02
5.948079872671324119e+04 1.471338434993906333e-03 2.079660837169291371e-02
5.948104872671324119e+04 -1.080569550229957057e-02 2.076694207319417645e-02
5.948129872671324119e+04 1.722349893791823294e-02 2.124113751761111737e-02
5.948154872671324119e+04 1.129335905504788573e-02 2.152313882771856798e-02
5.948179872671324119e+04 -1.184280512179012538e-03 2.133092670063330143e-02
5.948204872671324119e+04 -1.216186977266642440e-02 2.240182815705051012e-02
5.948229872671324119e+04 4.535947583724939808e-02 2.117410257309208788e-02
5.948254872671324119e+04 3.530305994822249393e-03 2.127547917412467293e-02
5.948279872671324119e+04 2.209981916422704487e-02 2.164499522078199012e-02
5.948304872671324119e+04 -4.902110286431124453e-02 3.407419287112578576e-02
5.948329872671324119e+04 -1.797067294282106778e-03 5.593685072308224315e-02
5.948354872671324119e+04 -2.131642696431047118e-02 5.287298809506164876e-02
5.948379872671324119e+04 1.123979544774523880e-02 7.211048531794278516e-02
5.948404872671324119e+04 -1.690056750866924529e-01 5.423184816490196625e-02
5.948429872671324119e+04 -1.273090046178539936e-01 5.326516493627389548e-02
5.948454872671324119e+04 nan nan
5.948479872671324119e+04 9.097278341558565073e-02 7.741693916194625213e-02
5.948504872671324119e+04 5.060654852085799682e-02 5.397473658688833886e-02
5.948529872671324119e+04 6.760891085690882985e-02 6.114315713794855195e-02
5.948554872671324119e+04 7.499212397317829570e-02 8.616453773790559711e-02
5.948579872671324119e+04 nan nan
5.948604872671324119e+04 nan nan
5.948629872671324119e+04 nan nan
5.948654872671324119e+04 nan nan
5.948679872671324119e+04 -1.069778554461101178e-01 2.077756757315481206e-02
5.948704872671324119e+04 -1.004025939838665976e-01 2.185534250341877524e-02
5.948729872671324119e+04 -5.313636746694308521e-02 2.089402823316529115e-02
5.948754872671324119e+04 -6.591208435258183451e-02 2.113780313204657868e-02
5.948779872671324119e+04 -7.479677118188415852e-02 2.183312354062267452e-02
5.948804872671324119e+04 -7.632124815157467768e-02 2.038009472519729942e-02
5.948829872671324119e+04 -5.121769854954378448e-02 2.062075326240256010e-02
5.948854872671324119e+04 -3.524417621735948664e-02 2.106936575519657850e-02
5.948879872671324119e+04 -2.012608027644981201e-02 2.075534462931038354e-02
5.948904872671324119e+04 -1.124119172800386313e-02 2.013921957390211667e-02
5.948929872671324119e+04 -3.604277382890327258e-02 2.054581407936127008e-02
5.948954872671324119e+04 -4.107143000006086876e-03 2.042971567656838572e-02
5.948979872671324119e+04 -1.979948771235119989e-02 1.961491218311096213e-02
5.949004872671324119e+04 -1.992739420540477757e-02 1.970110631939702567e-02
5.949029872671324119e+04 3.762330616621883256e-02 2.230197442536179311e-02
5.949054872671324119e+04 1.005599946955251373e-01 2.124586839659187848e-02
5.949079872671324119e+04 3.960117618729575018e-02 2.075529031976403038e-02
5.949104872671324119e+04 7.354754822334133579e-02 1.976110493320389766e-02
5.949129872671324119e+04 5.926807807488092966e-02 2.074617569426231989e-02
5.949154872671324119e+04 9.304607614199494892e-02 2.039433357745980280e-02
5.949179872671324119e+04 7.756959992990761221e-02 2.070585277763484916e-02
5.949204872671324119e+04 1.202148699857593789e-01 2.033692840337070207e-02
5.949229872671324119e+04 1.160225522925584785e-01 2.050266894645456223e-02
5.949254872671324119e+04 1.448544315732430143e-01 1.896757438148331115e-02
5.949279872671324119e+04 1.073045763582313877e-01 1.977405789359726676e-02
5.949304872671324119e+04 1.492010045349841940e-01 2.024988523235954352e-02
5.949329872671324119e+04 1.611706030609974527e-01 2.112298318606429734e-02
5.949354872671324119e+04 1.492561838578875533e-01 2.040036581382804332e-02
5.949379872671324119e+04 1.571191158203503746e-01 2.061211195749801731e-02
5.949404872671324119e+04 1.688020495082871442e-01 2.081145435686372960e-02
5.949429872671324119e+04 1.713504795404195979e-01 2.031674102934501180e-02
5.949454872671324119e+04 2.060045783816255027e-01 2.051829712965714050e-02
5.949479872671324119e+04 2.046014827048207307e-01 2.095049803353030149e-02
5.949504872671324119e+04 2.271234182676385438e-01 2.060521848741209139e-02
5.949529872671324119e+04 1.855250136424817231e-01 2.088158869271355619e-02
5.949554872671324119e+04 1.855784687125277554e-01 1.985747040555845000e-02
5.949579872671324119e+04 2.107518912872114458e-01 2.073353424797239400e-02
5.949604872671324119e+04 2.600471135039849058e-01 2.023251542918044071e-02
5.949629872671324119e+04 2.382466982174981651e-01 2.163042665522540986e-02
5.949654872671324119e+04 2.594854427472993441e-01 2.082291708612581116e-02
5.949679872671324119e+04 2.259567011639028178e-01 2.097955715137921062e-02
5.949704872671324119e+04 2.638032602117095227e-01 2.066989166237453643e-02
5.949729872671324119e+04 2.537640191723507521e-01 2.153687551250462601e-02
5.949754872671324119e+04 2.676593283334958162e-01 2.103100845387534390e-02
5.949779872671324119e+04 3.032251532301610819e-01 2.443738739468642382e-02
5.949804872671324119e+04 2.857219626700422954e-01 2.994294550533520283e-02
5.949829872671324119e+04 2.732912007387052755e-01 5.140770412266105344e-02
