time[d]                  flux[µJy]                flux_err[µJy]
5.944732440425222740e+04 1.693354598804933664e-01 1.686436936922565411e-02
5.944757440425222740e+04 1.688831942123366348e-01 1.674408390064360819e-02
5.944782440425222740e+04 2.154972034052012597e-01 1.657071492779944866e-02
5.944807440425222740e+04 1.851453171714119716e-01 1.625676330732093652e-02
5.944832440425222740e+04 1.544765839048636846e-01 1.638325292330553365e-02
5.944857440425222740e+04 1.473360112829776858e-01 1.658578667803731893e-02
5.944882440425222740e+04 1.725729062701952810e-01 1.618214639964086349e-02
5.944907440425222740e+04 1.741607331322269081e-01 1.633789542268555134e-02
5.944932440425222740e+04 1.553730112974474054e-01 1.657710975979395651e-02
5.944957440425222740e+04 1.552850381551349468e-01 1.635688715783820135e-02
5.944982440425222740e+04 1.544882469898181676e-01 1.618260638774538657e-02
5.945007440425222740e+04 1.575386725047067116e-01 1.668501343091787978e-02
5.945032440425222740e+04 1.512546005114949743e-01 1.633330787534310533e-02
5.945057440425222740e+04 1.578770397693515792e-01 1.671974200793090171e-02
5.945082440425222740e+04 1.607018054724017597e-01 1.606397636958160902e-02
5.945107440425222740e+04 1.544329827511546904e-01 1.640662778708984471e-02
5.945132440425222740e+04 1.558813073161481599e-01 1.634287669958537845e-02
5.945157440425222740e+04 1.475694368985593086e-01 1.647479256202099770e-02
5.945182440425222740e+04 1.341628578144025141e-01 1.589830466594060673e-02
5.945207440425222740e+04 1.409322852027467543e-01 1.664697854009400402e-02
5.945232440425222740e+04 1.500481579833022328e-01 1.660649619901754387e-02
5.945257440425222740e+04 1.364353141953788262e-01 1.595019920366737981e-02
5.945282440425222740e+04 1.574394387646000371e-01 1.691421518432993654e-02
5.945307440425222740e+04 1.505684328895729729e-01 1.677190602860535729e-02
5.945332440425222740e+04 1.758809048021721111e-01 1.686781903523556711e-02
5.945357440425222740e+04 1.443217238224061005e-01 1.686855348721034986e-02
5.945382440425222740e+04 1.523773760542251887e-01 1.649855398184183614e-02
5.945407440425222740e+04 1.439783879630845420e-01 1.650487225427429289e-02
5.945432440425222740e+04 1.618391781529394113e-01 1.708545940630888660e-02
5.945457440425222740e+04 1.504555561274510400e-01 1.975293965624309173e-02
5.945482440425222740e+04 1.639119181729503105e-01 1.665551225659393092e-02
5.945507440425222740e+04 1.141827460511393305e-01 1.680189873648954557e-02
5.945532440425222740e+04 1.168263011762553233e-01 1.664334827832294333e-02
5.945557440425222740e+04 1.002994274519337370e-01 1.761021991350951443e-02
5.945582440425222740e+04 1.393186701738586830e-01 1.752004937372138305e-02
5.945607440425222740e+04 1.319339149360712060e-01 1.738539756936536423e-02
5.945632440425222740e+04 1.231097314480582849e-01 1.816314831195257190e-02
5.945657440425222740e+04 1.136328033526527032e-01 1.985978531723157220e-02
5.945682440425222740e+04 5.316112933745857638e-02 2.434336305615172544e-02
5.945707440425222740e+04 -5.699907741751458756e-02 4.285557791389421611e-02
5.945732440425222740e+04 -2.214616991330038143e-01 5.054760456550966979e-02
5.945757440425222740e+04 -1.612803884798067466e-01 4.746598257215221828e-02
5.945782440425222740e+04 -1.031960286482162953e-01 7.533227231982612959e-02
5.945807440425222740e+04 -1.847076818723983604e-01 3.939121376070019859e-02
5.945832440425222740e+04 -2.369149677991520472e-02 4.164116516993536521e-02
5.945857440425222740e+04 -6.801801680601783640e-02 3.624648543655968613e-02
5.945882440425222740e+04 -7.560285790153514762e-02 3.669768470090167822e-02
5.945907440425222740e+04 -2.589975648601924169e-02 3.998614626376888886e-02
5.945932440425222740e+04 -2.144162422469632068e-01 6.640966951131160867e-02
5.945957440425222740e+04 -3.164235208966403312e-01 7.710716199015468786e-02
5.945982440425222740e+04 -6.330758794653236488e-02 4.893529631715173855e-02
5.946007440425222740e+04 nan nan
5.946032440425222740e+04 nan nan
5.946057440425222740e+04 nan nan
5.946082440425222740e+04 -2.499200764974164254e-02 1.541052742863483621e-02
5.946107440425222740e+04 -5.939782911360047546e-03 1.562121849378193469e-02
5.946132440425222740e+04 -3.639483567284176185e-02 1.541285456691592406e-02
5.946157440425222740e+04 -1.720236856956691577e-03 1.508861399075775087e-02
5.946182440425222740e+04 1.354708837222317816e-02 1.537350812762468787e-02
5.946207440425222740e+04 -4.669805873800229185e-03 1.517496970326540767e-02
5.946232440425222740e+04 -7.997360974485447430e-03 1.557629340704689593e-02
5.946257440425222740e+04 -3.142526760027578026e-02 1.486076099934432494e-02
5.946282440425222740e+04 -1.608286456721414598e-02 1.499931373414013780e-02
5.946307440425222740e+04 -1.451216438680813688e-02 1.512512432748684341e-02
5.946332440425222740e+04 -3.765178100722791493e-02 1.538668184055086950e-02
5.946357440425222740e+04 -2.180445023325858905e-02 1.514603938406479389e-02
5.946382440425222740e+04 1.199180171237733232e-02 1.524058610187738888e-02
5.946407440425222740e+04 -4.546867024985846995e-02 1.526128694596917690e-02
5.946432440425222740e+04 -3.926083261933737550e-02 1.574943793474564355e-02
5.946457440425222740e+04 -1.074894762034079351e-03 1.544516186609862923e-02
5.946482440425222740e+04 -2.474614234094157927e-02 1.534047650777757565e-02
5.946507440425222740e+04 5.674927906970189673e-03 1.499417635496092145e-02
5.946532440425222740e+04 -3.983443252630039511e-02 1.521877557261985120e-02
5.946557440425222740e+04 -1.274416411736781912e-02 1.499893185486940450e-02
5.946582440425222740e+04 -2.408013228093996289e-02 1.550416483323503042e-02
5.946607440425222740e+04 5.533513133552768123e-03 1.578328080970416505e-02
5.946632440425222740e+04 -1.915550225169824344e-02 1.579528898822513822e-02
5.946657440425222740e+04 -1.266347443813580463e-02 1.582467183492468690e-02
5.946682440425222740e+04 -3.508698958015256299e-03 1.548715417325358459e-02
5.946707440425222740e+04 -4.356298130654263911e-02 1.548953677620630576e-02
5.946732440425222740e+04 -4.203934708667992487e-02 1.579738154602404465e-02
5.946757440425222740e+04 -6.015888225646550541e-02 1.530523365627137027e-02
5.946782440425222740e+04 -4.969305367811003432e-02 1.560346456964590081e-02
5.946807440425222740e+04 -4.068734069576068757e-02 1.525736752267645158e-02
5.946832440425222740e+04 -2.130587487455106593e-02 1.566810783909344112e-02
5.946857440425222740e+04 -3.909177179753436926e-02 1.558942286017159229e-02
5.946882440425222740e+04 7.015370795371771856e-03 1.567879997105307149e-02
5.946907440425222740e+04 -1.776952537931064321e-02 1.532950314752607249e-02
5.946932440425222740e+04 -7.378538610259183228e-02 1.591790224063534959e-02
5.946957440425222740e+04 -3.788087912340173946e-02 1.621567660011746445e-02
5.946982440425222740e+04 -6.432728702373509411e-02 1.666120299491998316e-02
5.947007440425222740e+04 -4.925443321598281521e-02 1.670575854939748695e-02
5.947032440425222740e+04 -6.634631506865906747e-02 1.790047323304041690e-02
